Date,Close Price
3/25/2018 0:00,160.48
3/25/2018 0:05,159.63
3/25/2018 0:10,158.86
3/25/2018 0:15,158.88
3/25/2018 0:20,158.85
3/25/2018 0:25,159
3/25/2018 0:30,159.27
3/25/2018 0:35,159.3
3/25/2018 0:40,159.3
3/25/2018 0:45,159.74
3/25/2018 0:50,159.84
3/25/2018 0:55,160.11
3/25/2018 1:00,159.98
3/25/2018 1:05,159.67
3/25/2018 1:10,159.79
3/25/2018 1:15,159.9
3/25/2018 1:20,159.99
3/25/2018 1:25,159.71
3/25/2018 1:30,159.69
3/25/2018 1:35,159.89
3/25/2018 1:40,159.91
3/25/2018 1:45,160.12
3/25/2018 1:50,160.42
3/25/2018 1:55,159.99
3/25/2018 2:00,159.65
3/25/2018 2:05,159.67
3/25/2018 2:10,159.68
3/25/2018 2:15,159.39
3/25/2018 2:20,159.56
3/25/2018 2:25,159.71
3/25/2018 2:30,159.61
3/25/2018 2:35,159.51
3/25/2018 2:40,159.57
3/25/2018 2:45,159.29
3/25/2018 2:50,159.24
3/25/2018 2:55,159.34
3/25/2018 3:00,159.27
3/25/2018 3:05,159
3/25/2018 3:10,158.33
3/25/2018 3:15,159.06
3/25/2018 3:20,159.23
3/25/2018 3:25,159.36
3/25/2018 3:30,159.39
3/25/2018 3:35,159.53
3/25/2018 3:40,159.44
3/25/2018 3:45,159.68
3/25/2018 3:50,159.97
3/25/2018 3:55,160.01
3/25/2018 4:00,159.98
3/25/2018 4:05,159.9
3/25/2018 4:10,159.79
3/25/2018 4:15,159.69
3/25/2018 4:20,159.87
3/25/2018 4:25,159.8
3/25/2018 4:30,159.61
3/25/2018 4:35,159.65
3/25/2018 4:40,159.76
3/25/2018 4:45,159.9
3/25/2018 4:50,159.86
3/25/2018 4:55,159.96
3/25/2018 5:00,160.08
3/25/2018 5:05,160.02
3/25/2018 5:10,159.89
3/25/2018 5:15,160.21
3/25/2018 5:20,160.4
3/25/2018 5:25,160.37
3/25/2018 5:30,160.48
3/25/2018 5:35,160.49
3/25/2018 5:40,160.43
3/25/2018 5:45,160.19
3/25/2018 5:50,160.29
3/25/2018 5:55,160.14
3/25/2018 6:00,159.94
3/25/2018 6:05,159.65
3/25/2018 6:10,159.63
3/25/2018 6:15,159.73
3/25/2018 6:20,159.75
3/25/2018 6:25,159.8
3/25/2018 6:30,159.94
3/25/2018 6:35,159.94
3/25/2018 6:40,159.93
3/25/2018 6:45,159.73
3/25/2018 6:50,159.56
3/25/2018 6:55,159.5
3/25/2018 7:00,159.33
