Date,Close Price
3/25/2018 0:00,985.83
3/25/2018 0:05,982.3
3/25/2018 0:10,973.6
3/25/2018 0:15,974.84
3/25/2018 0:20,972.58
3/25/2018 0:25,974.31
3/25/2018 0:30,976.37
3/25/2018 0:35,977.31
3/25/2018 0:40,979.06
3/25/2018 0:45,981.69
3/25/2018 0:50,980.32
3/25/2018 0:55,980.03
3/25/2018 1:00,981.38
3/25/2018 1:05,980.34
3/25/2018 1:10,981.57
3/25/2018 1:15,981.71
3/25/2018 1:20,983.75
3/25/2018 1:25,981.61
3/25/2018 1:30,979.69
3/25/2018 1:35,980.2
3/25/2018 1:40,980.52
3/25/2018 1:45,980.61
3/25/2018 1:50,983.57
3/25/2018 1:55,985.12
3/25/2018 2:00,981.39
3/25/2018 2:05,979.76
3/25/2018 2:10,979.05
3/25/2018 2:15,976.78
3/25/2018 2:20,977.93
3/25/2018 2:25,977.36
3/25/2018 2:30,978.54
3/25/2018 2:35,977.51
3/25/2018 2:40,977.97
3/25/2018 2:45,976.52
3/25/2018 2:50,975.34
3/25/2018 2:55,976.08
3/25/2018 3:00,975.62
3/25/2018 3:05,975.07
3/25/2018 3:10,972.39
3/25/2018 3:15,974.12
3/25/2018 3:20,974.14
3/25/2018 3:25,975.37
3/25/2018 3:30,975.21
3/25/2018 3:35,976.6
3/25/2018 3:40,976.99
3/25/2018 3:45,976.92
3/25/2018 3:50,978.33
3/25/2018 3:55,978.8
3/25/2018 4:00,980.08
3/25/2018 4:05,979.17
3/25/2018 4:10,979.99
3/25/2018 4:15,980.56
3/25/2018 4:20,982.61
3/25/2018 4:25,981.81
3/25/2018 4:30,980.49
3/25/2018 4:35,980.11
3/25/2018 4:40,979.65
3/25/2018 4:45,981.71
3/25/2018 4:50,982.54
3/25/2018 4:55,983.23
3/25/2018 5:00,983.44
3/25/2018 5:05,983.69
3/25/2018 5:10,981.87
3/25/2018 5:15,982.86
3/25/2018 5:20,984.38
3/25/2018 5:25,983.91
3/25/2018 5:30,984.62
3/25/2018 5:35,985.63
3/25/2018 5:40,984.95
3/25/2018 5:45,985.94
3/25/2018 5:50,987.1
3/25/2018 5:55,985.4
3/25/2018 6:00,983.95
3/25/2018 6:05,983.5
3/25/2018 6:10,981.83
3/25/2018 6:15,982.95
3/25/2018 6:20,981.42
3/25/2018 6:25,981.44
3/25/2018 6:30,983.71
3/25/2018 6:35,984.41
3/25/2018 6:40,983.41
3/25/2018 6:45,983.42
3/25/2018 6:50,981.03
3/25/2018 6:55,982.26
3/25/2018 7:00,982.39
3/25/2018 7:05,979.44
3/25/2018 7:10,982.43
3/25/2018 7:15,979.09
3/25/2018 7:20,979.17
3/25/2018 7:25,974.36
3/25/2018 7:30,975.3
3/25/2018 7:35,978.73
3/25/2018 7:40,976.12
3/25/2018 7:45,975.77
3/25/2018 7:50,975.03
3/25/2018 7:55,976.02
3/25/2018 8:00,976.98
3/25/2018 8:05,978.66
3/25/2018 8:10,977.52
3/25/2018 8:15,978.78
3/25/2018 8:20,983.99
3/25/2018 8:25,983.47
3/25/2018 8:30,985.48
3/25/2018 8:35,984.89
